question_id,question_text,correct_answer
1,"If the angles in a triangle are 45° and 60°, what is the third angle?","75°"
2,"Calculate 2/3 × 3/4","1/2"
3,"What is a quarter turn in degrees?","90°"
4,"What is the gradient of the line passing through points (2,3) and (5,9)?","2"
5,"If one angle on a straight line is 30°, what is the other angle?","150°"
6,"Simplify 4a + 3b","4a + 3b"
7,"Calculate √(9 + 16)","5"
8,"Evaluate 3/4 ÷ 2","3/8"
9,"True or False: A rhombus with right angles is always a rectangle.","True"
10,"Solve for x in 3 × (2 + 4) - 5 = x","13"
11,"What is 20% of 250?","50"
12,"Evaluate 7⁰","1"
